1.63100000	3.75200000	1.63100000	3.75200001
1.63100000	3.68400000	1.63100000	3.75200001
1.63400000	3.57700000	1.63400000	3.76465001
1.64000000	3.57400000	1.64000000	3.78995001
1.65600000	3.64000000	1.65600000	3.85741668
1.65700000	3.58100000	1.65700000	3.86163334
1.65700000	3.68000000	1.65700000	3.86163334
1.66300000	3.68000000	1.66300000	3.88693334
1.66400000	3.73400000	1.66400000	3.89115001
1.66800000	3.76100000	1.66800000	3.90801668
1.67100000	3.77900000	1.67100000	3.92066668
1.67300000	3.80300000	1.67300000	3.92910001
1.68000000	3.82900000	1.68000000	3.95861668
1.68800000	3.92300000	1.68800000	3.99235001
1.69100000	4.00500000	1.69100000	4.00500001
