1.43900000	5.33800000	1.43900000	5.33800000
1.44400000	5.24800000	1.44400000	5.33061225
1.44700000	5.14500000	1.44700000	5.32617959
1.45100000	5.07200000	1.45100000	5.32026939
1.45700000	5.02700000	1.45700000	5.31140408
1.46200000	4.84400000	1.46200000	5.30401633
1.47600000	4.75900000	1.47600000	5.28333061
1.49000000	4.75100000	1.49000000	5.26264490
1.49500000	4.68600000	1.49500000	5.25525715
1.50100000	4.52300000	1.50100000	5.24639184
1.51700000	4.55600000	1.51700000	5.22275102
1.52800000	4.58800000	1.52800000	5.20649796
1.53900000	4.63700000	1.53900000	5.19024490
1.54300000	4.57400000	1.54300000	5.18433470
1.55900000	4.59400000	1.55900000	5.16069388
1.57000000	4.54500000	1.57000000	5.14444082
1.57700000	4.56400000	1.57700000	5.13409796
1.58300000	4.60500000	1.58300000	5.12523266
1.58800000	4.63700000	1.58800000	5.11784490
1.59700000	4.69100000	1.59700000	5.10454694
1.61000000	4.75900000	1.61000000	5.08533878
1.61100000	4.81200000	1.61100000	5.08386123
1.61800000	4.81000000	1.61800000	5.07351837
1.62600000	4.80000000	1.62600000	5.06169796
1.63000000	4.77900000	1.63000000	5.05578776
1.63200000	4.70200000	1.63200000	5.05283266
1.63600000	4.65500000	1.63600000	5.04692245
1.63600000	4.69700000	1.63600000	5.04692245
1.64800000	4.65300000	1.64800000	5.02919184
1.65700000	4.63400000	1.65700000	5.01589388
1.66800000	4.64100000	1.66800000	4.99964082
1.66900000	4.66900000	1.66900000	4.99816327
1.66900000	4.75200000	1.66900000	4.99816327
1.67200000	4.77000000	1.67200000	4.99373061
1.67600000	4.87600000	1.67600000	4.98782041
1.68100000	4.90000000	1.68100000	4.98043266
1.68400000	4.97600000	1.68400000	4.97600000
