1.62600000	4.80000000	1.62600000	4.80000000
1.63000000	4.77900000	1.63000000	4.81213793
1.63200000	4.70200000	1.63200000	4.81820689
1.63600000	4.65500000	1.63600000	4.83034483
1.63600000	4.69700000	1.63600000	4.83034483
1.64800000	4.65300000	1.64800000	4.86675862
1.65700000	4.63400000	1.65700000	4.89406896
1.66800000	4.64100000	1.66800000	4.92744827
1.66900000	4.66900000	1.66900000	4.93048276
1.66900000	4.75200000	1.66900000	4.93048276
1.67200000	4.77000000	1.67200000	4.93958620
1.67600000	4.87600000	1.67600000	4.95172414
1.68100000	4.90000000	1.68100000	4.96689655
1.68400000	4.97600000	1.68400000	4.97600000
